antibody_id,signature,proxy_survivability_score,tie_break_risk,core10_operational_risk,cluster_size,hc_subtype,lc_subtype,hierarchical_cluster_IgG_isotype_stratified_fold
GDPa1-060,IgG1|Kappa|0,0.858994569977229,1.27875,0.15667270002530118,54,IgG1,Kappa,0
GDPa1-021,IgG1|Kappa|1,0.8446062607912319,1.27625,0.17265971023196458,49,IgG1,Kappa,1
GDPa1-085,IgG1|Kappa|4,0.8446062607912319,1.28125,0.17265971023196458,49,IgG1,Kappa,4
GDPa1-025,IgG1|Lambda|4,0.8446062607912319,1.2825,0.17265971023196458,49,IgG1,Lambda,4
GDPa1-165,IgG1|Lambda|1,0.8446062607912319,1.28625,0.17265971023196458,49,IgG1,Lambda,1
GDPa1-017,IgG1|Kappa|2,0.8413688912243825,1.27625,0.17625678752846383,48,IgG1,Kappa,2
GDPa1-010,IgG1|Kappa|3,0.8344718864950078,1.2775,0.18392012611665792,46,IgG1,Kappa,3
GDPa1-138,IgG4|Kappa|0,0.5053949903660886,1.2875,0.5495611218154571,54,IgG4,Kappa,0
GDPa1-039,IgG4|Kappa|1,0.4910066811800915,1.28875,0.5655481320221205,49,IgG4,Kappa,1
GDPa1-050,IgG4|Kappa|4,0.4910066811800915,1.29,0.5655481320221205,49,IgG4,Kappa,4
GDPa1-224,IgG4|Kappa|2,0.4877693116132422,1.29125,0.5691452093186198,48,IgG4,Kappa,2
GDPa1-229,IgG4|Lambda|2,0.4877693116132422,1.2974999999999999,0.5691452093186198,48,IgG4,Lambda,2
GDPa1-150,IgG4|Kappa|3,0.4808723068838675,1.285,0.5768085479068139,46,IgG4,Kappa,3
GDPa1-002,IgG2|Kappa|0,0.12452268348222106,1.31125,0.9727525739086432,54,IgG2,Kappa,0
GDPa1-216,IgG2|Kappa|4,0.11013437429622386,1.3087499999999999,0.9887395841153068,49,IgG2,Kappa,4
GDPa1-170,IgG2|Kappa|1,0.11013437429622386,1.3125,0.9887395841153068,49,IgG2,Kappa,1
GDPa1-034,IgG2|Lambda|4,0.11013437429622386,1.3175,0.9887395841153068,49,IgG2,Lambda,4
GDPa1-033,IgG2|Kappa|2,0.10689700472937458,1.3087499999999999,0.992336661411806,48,IgG2,Kappa,2
GDPa1-081,IgG2|Lambda|3,0.09999999999999998,1.31,1.0,46,IgG2,Lambda,3
