pseudo_mode,label_col,hazard_col,threshold,pos_rate,tp,fp,tn,fn,base_cost,stability_proxy,total_cost
A,pseudo_failure_A,hazard_rule,0.0,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_rule,0.01,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_rule,0.02,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_rule,0.03,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_rule,0.04,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_rule,0.05,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_rule,0.06,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_rule,0.07,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_rule,0.08,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_rule,0.09,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_rule,0.1,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_rule,0.11,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_rule,0.12,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_rule,0.13,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_rule,0.14,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_rule,0.15,0.9473684210526315,6,12,1,0,12.0,0.01,12.0475
A,pseudo_failure_A,hazard_rule,0.16,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_rule,0.17,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.18,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.19,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.2,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.21,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.22,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.23,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.24,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.25,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.26,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.27,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.28,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.29,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.3,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.31,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.32,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.33,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.34,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.35000000000000003,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.36,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.37,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.38,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_rule,0.39,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
