antibody_key,step,pred_score,rolling_mean_pred_score,rolling_std_pred_score,recent_mutation_count_k,cooldown_left,toggle_event
GDPa1-001,1,2.013942679845788,,,,0,1
GDPa1-001,2,1.966443755368055,,,,0,1
GDPa1-001,3,1.9439466872049669,1.9747777074729367,0.03573444857148794,1.0,0,0
GDPa1-001,4,1.916267761019849,1.9422194011976235,0.025132553390397685,0.0,0,0
GDPa1-001,5,1.9399148824362504,1.9333764435536889,0.014953064099242975,1.0,0,1
GDPa1-001,6,1.957584831178541,1.93792249154488,0.020730467619487124,2.0,0,0
GDPa1-001,7,1.9968027879490255,1.9647675005212724,0.02911617252615592,3.0,0,0
GDPa1-001,8,1.9554966712119677,1.9699614301131783,0.02326873376154179,2.0,0,1
GDPa1-001,9,1.9476888531804943,1.966662770780496,0.026392347030770317,1.0,0,0
GDPa1-001,10,1.9006685751243015,1.9346180331722547,0.029659143310545755,0.0,0,0
GDPa1-001,11,1.872532372604662,1.906963266969819,0.037971588091742586,0.0,0,0
GDPa1-001,12,1.873067901414998,1.8820896163813206,0.016092078136674317,1.0,0,1
GDPa1-001,13,1.8257214983833845,1.8571072574676817,0.027182183553754097,1.0,0,1
GDPa1-001,14,1.7956052634520494,1.831464887750144,0.039049391302663904,1.0,0,0
GDPa1-001,15,1.8105937072300016,1.810640156355145,0.015058171195433779,1.0,0,1
GDPa1-001,16,1.8150878552903236,1.807095608657458,0.010201488440509835,2.0,0,0
GDPa1-001,17,1.7871319174943932,1.8042711600049062,0.015012147317186008,2.0,0,1
GDPa1-001,18,1.796058485881984,1.7994260862222335,0.014278976278132394,2.0,0,1
GDPa1-001,19,1.8270015315497663,1.8033973116420476,0.02092343910268519,2.0,0,0
GDPa1-001,20,1.777651407517573,1.8002371416497744,0.02493901679131979,2.0,0,1
GDPa1-045,1,4.030581925183281,,,,0,1
GDPa1-045,2,4.050395864682104,,,,0,0
GDPa1-045,3,4.034420916333903,4.0384662353997625,0.010508163701342308,2.0,0,1
GDPa1-045,4,3.999968866315081,4.028261882443696,0.02577151169261236,1.0,0,0
GDPa1-045,5,4.045690173535759,4.026693318728248,0.023820082011993243,1.0,0,1
GDPa1-045,6,4.029349628047021,4.025002889299286,0.023168514989046554,1.0,0,1
GDPa1-045,7,3.988624212385036,4.021221337989272,0.029388480820912263,1.0,0,0
GDPa1-045,8,3.9482958500683822,3.9887565635001465,0.04052705107414009,0.0,0,0
GDPa1-045,9,3.983045286703128,3.973321783052182,0.02185186706493087,1.0,0,1
GDPa1-045,10,3.9934178898398174,3.9749196755371092,0.023633002050096254,2.0,0,0
GDPa1-045,11,4.024130717167256,4.000197964570067,0.021365397471531773,3.0,0,0
GDPa1-045,12,4.047103895836638,4.0215508342812365,0.026935824783210032,3.0,0,0
GDPa1-045,13,4.050726704982107,4.040653772662,0.014423581687216693,3.0,0,0
GDPa1-045,14,4.0980382813800444,4.065289627399596,0.028418953880715428,3.0,0,0
GDPa1-045,15,4.0858917191008794,4.07821890182101,0.024571333074781786,2.0,0,1
GDPa1-045,16,4.091095782228202,4.091675260903043,0.0060939798531827166,2.0,0,1
GDPa1-045,17,4.124036248653502,4.1003412499941945,0.020684784005551297,2.0,0,0
GDPa1-045,18,4.135888223889927,4.1170067515905435,0.02320885777505775,3.0,0,0
GDPa1-045,19,4.1720589139210045,4.143994462154811,0.025016542905712185,3.0,0,0
GDPa1-045,20,4.179794128446681,4.16258042208587,0.02343743734578363,3.0,0,0
GDPa1-183,1,4.020457183621493,,,,0,1
GDPa1-183,2,3.975039621987059,,,,0,1
GDPa1-183,3,3.9478294495522137,3.9811087517202552,0.036692270177767036,1.0,0,0
GDPa1-183,4,3.926768245912424,3.949879105817232,0.024200873024299508,0.0,0,0
GDPa1-183,5,3.884747443604787,3.9197817130231414,0.03211609565229785,0.0,0,0
GDPa1-183,6,3.85802653224089,3.8898474072527005,0.03465347055537545,0.0,0,0
GDPa1-183,7,3.818126675181863,3.8536335503425136,0.03352693564560799,0.0,0,0
GDPa1-183,8,3.795924035492873,3.824025747638542,0.0314687037780574,0.0,0,0
GDPa1-183,9,3.809492479919312,3.807847730198016,0.011192327886722944,1.0,0,1
GDPa1-183,10,3.7959756978163206,3.8004640710761683,0.007818874083137943,1.0,0,1
GDPa1-183,11,3.782993794528009,3.796153990754547,0.013250242380632101,1.0,0,0
GDPa1-183,12,3.7539444976051577,3.7776379966498292,0.021521358599805102,0.0,0,0
GDPa1-183,13,3.730642279810069,3.755860190647745,0.026228280217932953,0.0,0,0
GDPa1-183,14,3.774307738581318,3.752964838665515,0.021849207563527255,1.0,0,1
GDPa1-183,15,3.7891112771059774,3.7646870984991216,0.0303985764122322,2.0,0,0
GDPa1-183,16,3.800024377672676,3.7878144644533243,0.012907272129719592,3.0,0,0
GDPa1-183,17,3.767138242492486,3.785424632423713,0.01675016368672732,2.0,0,1
GDPa1-183,18,3.790050922287521,3.785737847484228,0.01686198186650406,2.0,0,1
GDPa1-183,19,3.7563911716637137,3.77119344548124,0.017192388038721026,1.0,0,1
GDPa1-183,20,3.7443367158394785,3.7635929365969045,0.023692746388039785,1.0,0,0
