exp_id,antibody_key,noise_scale,cooldown,lookback_window,risk_mode,candidate_sample_n,toggle_rate,toggle_count,burst_mean,burst_max,burst_count,interventions,flip_flop_count
EXP_001,GDPa1-001,0.01,0,1,mean,1,0.4,8,2.0,3,5,10,1
EXP_001,GDPa1-045,0.01,0,1,mean,1,0.4,8,2.0,3,5,10,1
EXP_001,GDPa1-183,0.01,0,1,mean,1,0.4,8,2.0,3,5,10,1
EXP_002,GDPa1-001,0.01,0,1,mean,5,0.5,10,2.2,3,5,11,2
EXP_002,GDPa1-045,0.01,0,1,mean,5,0.5,10,2.2,3,5,11,2
EXP_002,GDPa1-183,0.01,0,1,mean,5,0.5,10,2.2,3,5,11,2
EXP_003,GDPa1-001,0.01,0,1,mean,20,0.25,5,5.666666666666667,8,3,17,0
EXP_003,GDPa1-045,0.01,0,1,mean,20,0.25,5,5.666666666666667,8,3,17,0
EXP_003,GDPa1-183,0.01,0,1,mean,20,0.25,5,5.666666666666667,8,3,17,0
EXP_004,GDPa1-001,0.01,0,1,single,1,0.55,11,1.6666666666666667,3,6,10,3
EXP_004,GDPa1-045,0.01,0,1,single,1,0.55,11,1.6666666666666667,3,6,10,3
EXP_004,GDPa1-183,0.01,0,1,single,1,0.55,11,1.6666666666666667,3,6,10,3
EXP_005,GDPa1-001,0.01,0,1,single,5,0.5,10,2.1666666666666665,4,6,13,2
EXP_005,GDPa1-045,0.01,0,1,single,5,0.5,10,2.1666666666666665,4,6,13,2
EXP_005,GDPa1-183,0.01,0,1,single,5,0.5,10,2.1666666666666665,4,6,13,2
EXP_006,GDPa1-001,0.01,0,1,single,20,0.5,10,2.4,4,5,12,1
EXP_006,GDPa1-045,0.01,0,1,single,20,0.5,10,2.4,4,5,12,1
EXP_006,GDPa1-183,0.01,0,1,single,20,0.5,10,2.4,4,5,12,1
EXP_007,GDPa1-001,0.01,0,3,mean,1,0.3,6,3.0,7,3,9,2
EXP_007,GDPa1-045,0.01,0,3,mean,1,0.3,6,3.0,7,3,9,2
EXP_007,GDPa1-183,0.01,0,3,mean,1,0.3,6,3.0,7,3,9,2
EXP_008,GDPa1-001,0.01,0,3,mean,5,0.3,6,3.0,6,4,12,0
EXP_008,GDPa1-045,0.01,0,3,mean,5,0.3,6,3.0,6,4,12,0
EXP_008,GDPa1-183,0.01,0,3,mean,5,0.3,6,3.0,6,4,12,0
EXP_009,GDPa1-001,0.01,0,3,mean,20,0.2,4,5.333333333333333,8,3,16,0
EXP_009,GDPa1-045,0.01,0,3,mean,20,0.2,4,5.333333333333333,8,3,16,0
EXP_009,GDPa1-183,0.01,0,3,mean,20,0.2,4,5.333333333333333,8,3,16,0
EXP_010,GDPa1-001,0.01,0,3,single,1,0.45,9,1.8,5,5,9,3
EXP_010,GDPa1-045,0.01,0,3,single,1,0.45,9,1.8,5,5,9,3
EXP_010,GDPa1-183,0.01,0,3,single,1,0.45,9,1.8,5,5,9,3
EXP_011,GDPa1-001,0.01,0,3,single,5,0.25,5,4.333333333333333,7,3,13,0
EXP_011,GDPa1-045,0.01,0,3,single,5,0.25,5,4.333333333333333,7,3,13,0
EXP_011,GDPa1-183,0.01,0,3,single,5,0.25,5,4.333333333333333,7,3,13,0
EXP_012,GDPa1-001,0.01,0,3,single,20,0.3,6,2.3333333333333335,3,3,7,1
EXP_012,GDPa1-045,0.01,0,3,single,20,0.3,6,2.3333333333333335,3,3,7,1
EXP_012,GDPa1-183,0.01,0,3,single,20,0.3,6,2.3333333333333335,3,3,7,1
EXP_013,GDPa1-001,0.01,0,5,mean,1,0.35,7,2.25,3,4,9,0
EXP_013,GDPa1-045,0.01,0,5,mean,1,0.35,7,2.25,3,4,9,0
EXP_013,GDPa1-183,0.01,0,5,mean,1,0.35,7,2.25,3,4,9,0
EXP_014,GDPa1-001,0.01,0,5,mean,5,0.3,6,2.5,5,4,10,0
EXP_014,GDPa1-045,0.01,0,5,mean,5,0.3,6,2.5,5,4,10,0
EXP_014,GDPa1-183,0.01,0,5,mean,5,0.3,6,2.5,5,4,10,0
EXP_015,GDPa1-001,0.01,0,5,mean,20,0.15,3,4.5,5,2,9,0
EXP_015,GDPa1-045,0.01,0,5,mean,20,0.15,3,4.5,5,2,9,0
EXP_015,GDPa1-183,0.01,0,5,mean,20,0.15,3,4.5,5,2,9,0
EXP_016,GDPa1-001,0.01,0,5,single,1,0.2,4,2.0,2,3,6,0
EXP_016,GDPa1-045,0.01,0,5,single,1,0.2,4,2.0,2,3,6,0
EXP_016,GDPa1-183,0.01,0,5,single,1,0.2,4,2.0,2,3,6,0
EXP_017,GDPa1-001,0.01,0,5,single,5,0.1,2,3.5,6,2,7,0
EXP_017,GDPa1-045,0.01,0,5,single,5,0.1,2,3.5,6,2,7,0
EXP_017,GDPa1-183,0.01,0,5,single,5,0.1,2,3.5,6,2,7,0
EXP_018,GDPa1-001,0.01,0,5,single,20,0.2,4,4.5,5,2,9,0
EXP_018,GDPa1-045,0.01,0,5,single,20,0.2,4,4.5,5,2,9,0
EXP_018,GDPa1-183,0.01,0,5,single,20,0.2,4,4.5,5,2,9,0
EXP_019,GDPa1-001,0.01,2,1,mean,1,0.75,15,1.0,1,8,8,7
EXP_019,GDPa1-045,0.01,2,1,mean,1,0.75,15,1.0,1,8,8,7
EXP_019,GDPa1-183,0.01,2,1,mean,1,0.75,15,1.0,1,8,8,7
EXP_020,GDPa1-001,0.01,2,1,mean,5,0.75,15,1.0,1,8,8,7
EXP_020,GDPa1-045,0.01,2,1,mean,5,0.75,15,1.0,1,8,8,7
EXP_020,GDPa1-183,0.01,2,1,mean,5,0.75,15,1.0,1,8,8,7
EXP_021,GDPa1-001,0.01,2,1,mean,20,0.45,9,1.0,1,5,5,4
EXP_021,GDPa1-045,0.01,2,1,mean,20,0.45,9,1.0,1,5,5,4
EXP_021,GDPa1-183,0.01,2,1,mean,20,0.45,9,1.0,1,5,5,4
EXP_022,GDPa1-001,0.01,2,1,single,1,0.75,15,1.0,1,8,8,7
EXP_022,GDPa1-045,0.01,2,1,single,1,0.75,15,1.0,1,8,8,7
EXP_022,GDPa1-183,0.01,2,1,single,1,0.75,15,1.0,1,8,8,7
EXP_023,GDPa1-001,0.01,2,1,single,5,0.55,11,1.0,1,6,6,5
EXP_023,GDPa1-045,0.01,2,1,single,5,0.55,11,1.0,1,6,6,5
EXP_023,GDPa1-183,0.01,2,1,single,5,0.55,11,1.0,1,6,6,5
EXP_024,GDPa1-001,0.01,2,1,single,20,0.6,12,1.0,1,7,7,5
EXP_024,GDPa1-045,0.01,2,1,single,20,0.6,12,1.0,1,7,7,5
EXP_024,GDPa1-183,0.01,2,1,single,20,0.6,12,1.0,1,7,7,5
EXP_025,GDPa1-001,0.01,2,3,mean,1,0.2,4,1.0,1,2,2,2
EXP_025,GDPa1-045,0.01,2,3,mean,1,0.2,4,1.0,1,2,2,2
EXP_025,GDPa1-183,0.01,2,3,mean,1,0.2,4,1.0,1,2,2,2
EXP_026,GDPa1-001,0.01,2,3,mean,5,0.6,12,1.0,1,6,6,6
EXP_026,GDPa1-045,0.01,2,3,mean,5,0.6,12,1.0,1,6,6,6
EXP_026,GDPa1-183,0.01,2,3,mean,5,0.6,12,1.0,1,6,6,6
EXP_027,GDPa1-001,0.01,2,3,mean,20,0.75,15,1.0,1,8,8,7
EXP_027,GDPa1-045,0.01,2,3,mean,20,0.75,15,1.0,1,8,8,7
EXP_027,GDPa1-183,0.01,2,3,mean,20,0.75,15,1.0,1,8,8,7
EXP_028,GDPa1-001,0.01,2,3,single,1,0.25,5,1.0,1,3,3,2
EXP_028,GDPa1-045,0.01,2,3,single,1,0.25,5,1.0,1,3,3,2
EXP_028,GDPa1-183,0.01,2,3,single,1,0.25,5,1.0,1,3,3,2
EXP_029,GDPa1-001,0.01,2,3,single,5,0.7,14,1.0,1,7,7,7
EXP_029,GDPa1-045,0.01,2,3,single,5,0.7,14,1.0,1,7,7,7
EXP_029,GDPa1-183,0.01,2,3,single,5,0.7,14,1.0,1,7,7,7
EXP_030,GDPa1-001,0.01,2,3,single,20,0.55,11,1.0,1,6,6,5
EXP_030,GDPa1-045,0.01,2,3,single,20,0.55,11,1.0,1,6,6,5
EXP_030,GDPa1-183,0.01,2,3,single,20,0.55,11,1.0,1,6,6,5
EXP_031,GDPa1-001,0.01,2,5,mean,1,0.5,10,1.0,1,5,5,5
EXP_031,GDPa1-045,0.01,2,5,mean,1,0.5,10,1.0,1,5,5,5
EXP_031,GDPa1-183,0.01,2,5,mean,1,0.5,10,1.0,1,5,5,5
EXP_032,GDPa1-001,0.01,2,5,mean,5,0.85,17,1.0,1,9,9,8
EXP_032,GDPa1-045,0.01,2,5,mean,5,0.85,17,1.0,1,9,9,8
EXP_032,GDPa1-183,0.01,2,5,mean,5,0.85,17,1.0,1,9,9,8
EXP_033,GDPa1-001,0.01,2,5,mean,20,0.65,13,1.0,1,7,7,6
EXP_033,GDPa1-045,0.01,2,5,mean,20,0.65,13,1.0,1,7,7,6
EXP_033,GDPa1-183,0.01,2,5,mean,20,0.65,13,1.0,1,7,7,6
EXP_034,GDPa1-001,0.01,2,5,single,1,0.45,9,1.0,1,5,5,4
EXP_034,GDPa1-045,0.01,2,5,single,1,0.45,9,1.0,1,5,5,4
EXP_034,GDPa1-183,0.01,2,5,single,1,0.45,9,1.0,1,5,5,4
EXP_035,GDPa1-001,0.01,2,5,single,5,0.4,8,1.0,1,5,5,3
EXP_035,GDPa1-045,0.01,2,5,single,5,0.4,8,1.0,1,5,5,3
EXP_035,GDPa1-183,0.01,2,5,single,5,0.4,8,1.0,1,5,5,3
EXP_036,GDPa1-001,0.01,2,5,single,20,0.95,19,1.0,1,10,10,9
EXP_036,GDPa1-045,0.01,2,5,single,20,0.95,19,1.0,1,10,10,9
EXP_036,GDPa1-183,0.01,2,5,single,20,0.95,19,1.0,1,10,10,9
EXP_037,GDPa1-001,0.01,5,1,mean,1,0.35,7,1.0,1,4,4,3
EXP_037,GDPa1-045,0.01,5,1,mean,1,0.35,7,1.0,1,4,4,3
EXP_037,GDPa1-183,0.01,5,1,mean,1,0.35,7,1.0,1,4,4,3
EXP_038,GDPa1-001,0.01,5,1,mean,5,0.35,7,1.0,1,4,4,3
EXP_038,GDPa1-045,0.01,5,1,mean,5,0.35,7,1.0,1,4,4,3
