run_id,case_id,antibody_id,step,attempted,action,reason_code,SoD,SoMS,conflict_flag,mutation_desc,intended_axis,blocked
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,0,True,ALLOW,,0.3,0.0,False,CDR_mut_2,IMMUNO,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,1,True,ALLOW,,0.75,0.0,False,CDR_mut_8,IMMUNO,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,2,True,ALLOW,,1.75,0.0,False,CDR_mut_13,VISCOSITY,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,3,True,ALLOW,,2.9,0.0,False,CDR_mut_24,VISCOSITY,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,4,True,ALLOW,,4.2,0.6,True,CDR_mut_19,PROCESS,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,5,True,ALLOW,,5.65,0.55,False,CDR_mut_5,CHARGE,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,6,True,ALLOW,,7.25,1.15,True,CDR_mut_3,IMMUNO,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,7,True,ALLOW,,8.6,1.1,False,CDR_mut_16,VISCOSITY,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,8,True,ALLOW,,10.5,1.05,False,CDR_mut_22,CHARGE,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,9,True,ALLOW,,12.55,1.0,False,CDR_mut_0,IMMUNO,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,10,True,ALLOW,,14.75,0.95,False,CDR_mut_11,IMMUNO,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,11,True,ALLOW,,16.7,0.9,False,CDR_mut_21,IMMUNO,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,12,True,ALLOW,,18.8,0.85,False,CDR_mut_13,VISCOSITY,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,13,True,ALLOW,,21.05,0.8,False,CDR_mut_14,VISCOSITY,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,14,True,ALLOW,,23.85,0.75,False,CDR_mut_13,VISCOSITY,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,15,True,ALLOW,,26.8,0.7,False,CDR_mut_8,IMMUNO,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,16,True,ALLOW,,29.9,1.3,True,CDR_mut_6,VISCOSITY,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,17,True,ALLOW,,32.75,1.25,False,CDR_mut_16,VISCOSITY,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,18,True,ALLOW,,36.15,1.2,False,CDR_mut_4,IMMUNO,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,19,True,ALLOW,,39.7,1.15,False,CDR_mut_2,IMMUNO,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,20,True,ALLOW,,43.4,1.1,False,CDR_mut_0,IMMUNO,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,21,True,ALLOW,,46.85,1.05,False,CDR_mut_13,VISCOSITY,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,22,True,ALLOW,,50.85,1.0,False,CDR_mut_3,IMMUNO,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,23,True,ALLOW,,55.5,1.6,True,CDR_mut_18,CHARGE,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,24,True,ALLOW,,59.8,1.55,False,CDR_mut_1,PROCESS,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,25,True,ALLOW,,64.25,2.15,True,CDR_mut_17,VISCOSITY,False
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,26,True,ALLOW,,68.85,2.75,True,CDR_mut_9,IMMUNO,False
