step,proxy_survivability,hazard,hazard_threshold,want_switch,fallback_evaluated,fallback_triggered,allocation
0,0.85,0.15000000000000002,0.55,False,True,False,A
1,0.85,0.15000000000000002,0.55,False,True,False,A
2,0.85,0.15000000000000002,0.55,False,True,False,A
3,0.85,0.15000000000000002,0.55,False,True,False,A
4,0.85,0.15000000000000002,0.55,False,True,False,A
5,0.85,0.15000000000000002,0.55,False,True,False,A
6,0.85,0.15000000000000002,0.55,False,True,False,A
7,0.85,0.15000000000000002,0.55,False,True,False,A
8,0.85,0.15000000000000002,0.55,False,True,False,A
9,0.85,0.15000000000000002,0.55,False,True,False,A
10,0.85,0.15000000000000002,0.55,False,True,False,A
11,0.85,0.15000000000000002,0.55,False,True,False,A
12,0.85,0.15000000000000002,0.55,False,True,False,A
13,0.85,0.15000000000000002,0.55,False,True,False,A
14,0.85,0.15000000000000002,0.55,False,True,False,A
15,0.85,0.15000000000000002,0.55,False,True,False,A
16,0.85,0.15000000000000002,0.55,False,True,False,A
17,0.85,0.15000000000000002,0.55,False,True,False,A
18,0.85,0.15000000000000002,0.55,False,True,False,A
19,0.85,0.15000000000000002,0.55,False,True,False,A
20,0.85,0.15000000000000002,0.55,False,True,False,A
21,0.85,0.15000000000000002,0.55,False,True,False,A
22,0.85,0.15000000000000002,0.55,False,True,False,A
23,0.85,0.15000000000000002,0.55,False,True,False,A
24,0.85,0.15000000000000002,0.55,False,True,False,A
25,0.85,0.15000000000000002,0.55,False,True,False,A
26,0.85,0.15000000000000002,0.55,False,True,False,A
27,0.85,0.15000000000000002,0.55,False,True,False,A
28,0.85,0.15000000000000002,0.55,False,True,False,A
29,0.85,0.15000000000000002,0.55,False,True,False,A
30,0.85,0.15000000000000002,0.55,False,True,False,A
31,0.85,0.15000000000000002,0.55,False,True,False,A
32,0.85,0.15000000000000002,0.55,False,True,False,A
33,0.85,0.15000000000000002,0.55,False,True,False,A
34,0.85,0.15000000000000002,0.55,False,True,False,A
35,0.85,0.15000000000000002,0.55,False,True,False,A
36,0.85,0.15000000000000002,0.55,False,True,False,A
37,0.85,0.15000000000000002,0.55,False,True,False,A
38,0.85,0.15000000000000002,0.55,False,True,False,A
39,0.85,0.15000000000000002,0.55,False,True,False,A
40,0.85,0.15000000000000002,0.55,False,True,False,A
41,0.85,0.15000000000000002,0.55,False,True,False,A
42,0.85,0.15000000000000002,0.55,False,True,False,A
43,0.85,0.15000000000000002,0.55,False,True,False,A
44,0.85,0.15000000000000002,0.55,False,True,False,A
45,0.85,0.15000000000000002,0.55,False,True,False,A
46,0.85,0.15000000000000002,0.55,False,True,False,A
47,0.85,0.15000000000000002,0.55,False,True,False,A
48,0.85,0.15000000000000002,0.55,False,True,False,A
49,0.85,0.15000000000000002,0.55,False,True,False,A
50,0.85,0.15000000000000002,0.55,False,True,False,A
51,0.85,0.15000000000000002,0.55,False,True,False,A
52,0.85,0.15000000000000002,0.55,False,True,False,A
53,0.85,0.15000000000000002,0.55,False,True,False,A
54,0.85,0.15000000000000002,0.55,False,True,False,A
55,0.85,0.15000000000000002,0.55,False,True,False,A
56,0.85,0.15000000000000002,0.55,False,True,False,A
57,0.85,0.15000000000000002,0.55,False,True,False,A
58,0.85,0.15000000000000002,0.55,False,True,False,A
59,0.85,0.15000000000000002,0.55,False,True,False,A
