step,proxy_survivability,hazard,hazard_threshold,want_switch,fallback_evaluated,fallback_triggered,allocation
0,0.75,0.25,0.09325,True,True,True,B
1,0.6,0.4,0.09325,True,True,True,C
2,0.4,0.6,0.09325,True,True,False,C
3,0.4,0.6,0.09325,True,True,False,C
4,0.4,0.6,0.09325,True,True,False,C
5,0.4,0.6,0.09325,True,True,False,C
6,0.4,0.6,0.09325,True,True,False,C
7,0.4,0.6,0.09325,True,True,False,C
8,0.4,0.6,0.09325,True,True,False,C
9,0.4,0.6,0.09325,True,True,False,C
10,0.4,0.6,0.09325,True,True,False,C
11,0.4,0.6,0.09325,True,True,False,C
12,0.4,0.6,0.09325,True,True,False,C
13,0.4,0.6,0.09325,True,True,False,C
14,0.4,0.6,0.09325,True,True,False,C
15,0.4,0.6,0.09325,True,True,False,C
16,0.4,0.6,0.09325,True,True,False,C
17,0.4,0.6,0.09325,True,True,False,C
18,0.4,0.6,0.09325,True,True,False,C
19,0.4,0.6,0.09325,True,True,False,C
20,0.4,0.6,0.09325,True,True,False,C
21,0.4,0.6,0.09325,True,True,False,C
22,0.4,0.6,0.09325,True,True,False,C
23,0.4,0.6,0.09325,True,True,False,C
24,0.4,0.6,0.09325,True,True,False,C
25,0.4,0.6,0.09325,True,True,False,C
26,0.4,0.6,0.09325,True,True,False,C
27,0.4,0.6,0.09325,True,True,False,C
28,0.4,0.6,0.09325,True,True,False,C
29,0.4,0.6,0.09325,True,True,False,C
30,0.4,0.6,0.09325,True,True,False,C
31,0.4,0.6,0.09325,True,True,False,C
32,0.4,0.6,0.09325,True,True,False,C
33,0.4,0.6,0.09325,True,True,False,C
34,0.4,0.6,0.09325,True,True,False,C
35,0.4,0.6,0.09325,True,True,False,C
36,0.4,0.6,0.09325,True,True,False,C
37,0.4,0.6,0.09325,True,True,False,C
38,0.4,0.6,0.09325,True,True,False,C
39,0.4,0.6,0.09325,True,True,False,C
40,0.4,0.6,0.09325,True,True,False,C
41,0.4,0.6,0.09325,True,True,False,C
42,0.4,0.6,0.09325,True,True,False,C
43,0.4,0.6,0.09325,True,True,False,C
44,0.4,0.6,0.09325,True,True,False,C
45,0.4,0.6,0.09325,True,True,False,C
46,0.4,0.6,0.09325,True,True,False,C
47,0.4,0.6,0.09325,True,True,False,C
48,0.4,0.6,0.09325,True,True,False,C
49,0.4,0.6,0.09325,True,True,False,C
