step,proxy_survivability,hazard,hazard_threshold,want_switch,fallback_evaluated,fallback_triggered,allocation
0,0.4,0.6,0.0165,True,True,True,B
1,0.6,0.4,0.0165,True,True,True,C
2,0.9,0.09999999999999998,0.0165,True,True,False,C
3,0.9,0.09999999999999998,0.0165,True,True,False,C
4,0.9,0.09999999999999998,0.0165,True,True,False,C
5,0.9,0.09999999999999998,0.0165,True,True,False,C
6,0.9,0.09999999999999998,0.0165,True,True,False,C
7,0.9,0.09999999999999998,0.0165,True,True,False,C
8,0.9,0.09999999999999998,0.0165,True,True,False,C
9,0.9,0.09999999999999998,0.0165,True,True,False,C
10,0.9,0.09999999999999998,0.0165,True,True,False,C
11,0.9,0.09999999999999998,0.0165,True,True,False,C
12,0.9,0.09999999999999998,0.0165,True,True,False,C
13,0.9,0.09999999999999998,0.0165,True,True,False,C
14,0.9,0.09999999999999998,0.0165,True,True,False,C
15,0.9,0.09999999999999998,0.0165,True,True,False,C
16,0.9,0.09999999999999998,0.0165,True,True,False,C
17,0.9,0.09999999999999998,0.0165,True,True,False,C
18,0.9,0.09999999999999998,0.0165,True,True,False,C
19,0.9,0.09999999999999998,0.0165,True,True,False,C
20,0.9,0.09999999999999998,0.0165,True,True,False,C
21,0.9,0.09999999999999998,0.0165,True,True,False,C
22,0.9,0.09999999999999998,0.0165,True,True,False,C
23,0.9,0.09999999999999998,0.0165,True,True,False,C
24,0.9,0.09999999999999998,0.0165,True,True,False,C
25,0.9,0.09999999999999998,0.0165,True,True,False,C
26,0.9,0.09999999999999998,0.0165,True,True,False,C
27,0.9,0.09999999999999998,0.0165,True,True,False,C
28,0.9,0.09999999999999998,0.0165,True,True,False,C
29,0.9,0.09999999999999998,0.0165,True,True,False,C
30,0.9,0.09999999999999998,0.0165,True,True,False,C
31,0.9,0.09999999999999998,0.0165,True,True,False,C
32,0.9,0.09999999999999998,0.0165,True,True,False,C
33,0.9,0.09999999999999998,0.0165,True,True,False,C
34,0.9,0.09999999999999998,0.0165,True,True,False,C
35,0.9,0.09999999999999998,0.0165,True,True,False,C
36,0.9,0.09999999999999998,0.0165,True,True,False,C
37,0.9,0.09999999999999998,0.0165,True,True,False,C
38,0.9,0.09999999999999998,0.0165,True,True,False,C
39,0.9,0.09999999999999998,0.0165,True,True,False,C
40,0.9,0.09999999999999998,0.0165,True,True,False,C
41,0.9,0.09999999999999998,0.0165,True,True,False,C
42,0.9,0.09999999999999998,0.0165,True,True,False,C
43,0.9,0.09999999999999998,0.0165,True,True,False,C
44,0.9,0.09999999999999998,0.0165,True,True,False,C
45,0.9,0.09999999999999998,0.0165,True,True,False,C
46,0.9,0.09999999999999998,0.0165,True,True,False,C
47,0.9,0.09999999999999998,0.0165,True,True,False,C
48,0.9,0.09999999999999998,0.0165,True,True,False,C
49,0.9,0.09999999999999998,0.0165,True,True,False,C
50,0.9,0.09999999999999998,0.0165,True,True,False,C
51,0.9,0.09999999999999998,0.0165,True,True,False,C
52,0.9,0.09999999999999998,0.0165,True,True,False,C
53,0.9,0.09999999999999998,0.0165,True,True,False,C
54,0.9,0.09999999999999998,0.0165,True,True,False,C
55,0.9,0.09999999999999998,0.0165,True,True,False,C
56,0.9,0.09999999999999998,0.0165,True,True,False,C
57,0.9,0.09999999999999998,0.0165,True,True,False,C
58,0.9,0.09999999999999998,0.0165,True,True,False,C
59,0.9,0.09999999999999998,0.0165,True,True,False,C
