step,SoMS,toggle_rate,drift,current_allocation
1,0.26,0.16,0.05,C
2,0.45,0.28,0.1,C
3,0.5700000000000001,0.335,0.15000000000000002,C
4,0.7100000000000001,0.4,0.2,C
5,0.8700000000000001,0.47500000000000003,0.25,C
6,1.05,0.56,0.3,C
7,1.25,0.655,0.35,C
8,1.47,0.76,0.39999999999999997,C
9,1.71,0.875,0.44999999999999996,C
10,1.97,1.0,0.49999999999999994,C
11,2.25,1.135,0.5499999999999999,C
12,2.55,1.28,0.6,C
13,2.8699999999999997,1.435,0.65,C
14,3.2099999999999995,1.5,0.7000000000000001,C
15,3.5699999999999994,1.5,0.7500000000000001,C
16,3.9499999999999993,1.5,0.8000000000000002,C
17,4.35,1.5,0.8500000000000002,C
18,4.77,1.5,0.9000000000000002,C
19,5.21,1.5,0.9500000000000003,C
20,5.67,1.5,1.0000000000000002,C
21,6.15,1.5,1.0500000000000003,C
22,6.65,1.5,1.1000000000000003,C
23,7.170000000000001,1.5,1.1500000000000004,C
24,7.710000000000001,1.5,1.2000000000000004,C
25,8.270000000000001,1.5,1.2500000000000004,C
26,8.850000000000001,1.5,1.3000000000000005,C
27,9.450000000000001,1.5,1.3500000000000005,C
28,10.070000000000002,1.5,1.4000000000000006,C
29,10.710000000000003,1.5,1.4500000000000006,C
30,11.370000000000003,1.5,1.5000000000000007,C
31,12.050000000000002,1.5,1.5500000000000007,C
32,12.750000000000004,1.5,1.6000000000000008,C
33,13.470000000000004,1.5,1.6500000000000008,C
34,14.210000000000004,1.5,1.7000000000000008,C
35,14.970000000000004,1.5,1.7500000000000009,C
36,15.750000000000005,1.5,1.800000000000001,C
37,16.550000000000004,1.5,1.850000000000001,C
38,17.370000000000005,1.5,1.900000000000001,C
39,18.210000000000004,1.5,1.950000000000001,C
40,19.070000000000004,1.5,2.000000000000001,C
41,19.950000000000003,1.5,2.0500000000000007,C
42,20.85,1.5,2.1000000000000005,C
43,21.770000000000003,1.5,2.1500000000000004,C
44,22.710000000000004,1.5,2.2,C
45,23.670000000000005,1.5,2.25,C
46,24.650000000000006,1.5,2.3,C
47,25.650000000000006,1.5,2.3499999999999996,C
48,26.670000000000005,1.5,2.3999999999999995,C
49,27.710000000000004,1.5,2.4499999999999993,C
50,28.770000000000003,1.5,2.499999999999999,C
51,29.85,1.5,2.549999999999999,C
52,30.950000000000003,1.5,2.5999999999999988,C
53,32.07,1.5,2.6499999999999986,C
54,33.21,1.5,2.6999999999999984,C
55,34.37,1.5,2.7499999999999982,C
56,35.55,1.5,2.799999999999998,C
57,36.75,1.5,2.849999999999998,C
58,37.97,1.5,2.8999999999999977,C
59,39.21,1.5,2.9499999999999975,C
60,40.47,1.5,2.9999999999999973,C
