step,SoMS,toggle_rate,drift,current_allocation
1,0.034,0.03950000000000001,0.01,A
2,0.07200000000000001,0.08100000000000002,0.02,A
3,0.114,0.12450000000000003,0.03,A
4,0.16,0.17000000000000004,0.04,A
5,0.21000000000000002,0.21750000000000005,0.05,A
6,0.264,0.26700000000000007,0.060000000000000005,A
7,0.322,0.31850000000000006,0.07,A
8,0.384,0.37200000000000005,0.08,A
9,0.45,0.42750000000000005,0.09,A
10,0.52,0.48500000000000004,0.09999999999999999,A
11,0.594,0.5445000000000001,0.10999999999999999,A
12,0.6719999999999999,0.6060000000000001,0.11999999999999998,A
13,0.7539999999999999,0.6695000000000001,0.12999999999999998,A
14,0.8399999999999999,0.7350000000000001,0.13999999999999999,A
15,0.9299999999999998,0.8025000000000001,0.15,A
16,1.0239999999999998,0.8720000000000001,0.16,A
17,1.1219999999999999,0.9435000000000001,0.17,A
18,1.224,1.0170000000000001,0.18000000000000002,A
19,1.33,1.0925000000000002,0.19000000000000003,A
20,1.4400000000000002,1.1700000000000004,0.20000000000000004,A
21,1.5540000000000003,1.2495000000000003,0.21000000000000005,A
22,1.6720000000000004,1.3310000000000004,0.22000000000000006,A
23,1.7940000000000005,1.4145000000000003,0.23000000000000007,A
24,1.9200000000000006,1.5,0.24000000000000007,A
25,2.0500000000000007,1.5,0.25000000000000006,A
26,2.1840000000000006,1.5,0.26000000000000006,A
27,2.3220000000000005,1.5,0.2700000000000001,A
28,2.4640000000000004,1.5,0.2800000000000001,A
29,2.6100000000000003,1.5,0.2900000000000001,A
30,2.7600000000000002,1.5,0.3000000000000001,A
31,2.914,1.5,0.3100000000000001,A
32,3.072,1.5,0.3200000000000001,A
33,3.234,1.5,0.3300000000000001,A
34,3.4,1.5,0.34000000000000014,A
35,3.57,1.5,0.35000000000000014,A
36,3.7439999999999998,1.5,0.36000000000000015,A
37,3.9219999999999997,1.5,0.37000000000000016,A
38,4.104,1.5,0.38000000000000017,A
39,4.29,1.5,0.3900000000000002,A
40,4.48,1.5,0.4000000000000002,A
41,4.674,1.5,0.4100000000000002,A
42,4.872000000000001,1.5,0.4200000000000002,A
43,5.074000000000001,1.5,0.4300000000000002,A
44,5.280000000000001,1.5,0.4400000000000002,A
45,5.490000000000001,1.5,0.45000000000000023,A
46,5.7040000000000015,1.5,0.46000000000000024,A
47,5.9220000000000015,1.5,0.47000000000000025,A
48,6.144000000000002,1.5,0.48000000000000026,A
49,6.370000000000002,1.5,0.49000000000000027,A
50,6.600000000000002,1.5,0.5000000000000002,A
51,6.834000000000002,1.5,0.5100000000000002,A
52,7.072000000000003,1.5,0.5200000000000002,A
53,7.314000000000003,1.5,0.5300000000000002,A
54,7.560000000000003,1.5,0.5400000000000003,A
55,7.810000000000003,1.5,0.5500000000000003,A
56,8.064000000000004,1.5,0.5600000000000003,A
57,8.322000000000005,1.5,0.5700000000000003,A
58,8.584000000000005,1.5,0.5800000000000003,A
59,8.850000000000005,1.5,0.5900000000000003,A
60,9.120000000000005,1.5,0.6000000000000003,A
