step,prev_allocation,allocation,allocation_source,proxy_survivability,hazard,hazard_threshold,want_switch,fallback_evaluated,fallback_triggered,core6_fallback_score_n,core6_governance_signal
0,A,183,CORE6,1.0,0.0,0.0165,True,True,True,0.0,CRITICAL
1,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
2,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
3,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
4,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
5,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
6,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
7,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
8,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
9,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
10,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
11,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
12,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
13,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
14,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
15,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
16,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
17,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
18,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
19,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
20,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
21,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
22,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
23,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
24,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
25,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
26,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
27,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
28,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
29,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
30,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
31,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
32,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
33,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
34,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
35,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
36,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
37,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
38,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
39,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
40,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
41,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
42,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
43,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
44,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
45,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
46,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
47,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
48,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
49,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
50,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
51,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
52,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
53,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
54,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
55,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
56,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
57,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
58,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
59,183,183,CORE6,1.0,0.0,0.0165,False,True,False,0.0,CRITICAL
