step,SoMS,toggle_rate,drift,current_allocation
1,0.012,0.006,0.03,183
2,0.036000000000000004,0.018000000000000002,0.06,183
3,0.07200000000000001,0.036000000000000004,0.09,183
4,0.12000000000000001,0.060000000000000005,0.12,183
5,0.18,0.09,0.15,183
6,0.252,0.126,0.18,183
7,0.336,0.168,0.21,183
8,0.43200000000000005,0.21600000000000003,0.24,183
9,0.54,0.27,0.27,183
10,0.66,0.33,0.30000000000000004,183
11,0.792,0.396,0.33000000000000007,183
12,0.936,0.468,0.3600000000000001,183
13,1.092,0.546,0.3900000000000001,183
14,1.2600000000000002,0.6300000000000001,0.42000000000000015,183
15,1.4400000000000004,0.7200000000000002,0.4500000000000002,183
16,1.6320000000000006,0.8160000000000003,0.4800000000000002,183
17,1.8360000000000007,0.9180000000000004,0.5100000000000002,183
18,2.052000000000001,1.0260000000000005,0.5400000000000003,183
19,2.280000000000001,1.1400000000000006,0.5700000000000003,183
20,2.5200000000000014,1.2600000000000007,0.6000000000000003,183
21,2.7720000000000016,1.3860000000000008,0.6300000000000003,183
22,3.036000000000002,1.5,0.6600000000000004,183
23,3.312000000000002,1.5,0.6900000000000004,183
24,3.6000000000000023,1.5,0.7200000000000004,183
25,3.9000000000000026,1.5,0.7500000000000004,183
26,4.212000000000002,1.5,0.7800000000000005,183
27,4.536000000000002,1.5,0.8100000000000005,183
28,4.8720000000000026,1.5,0.8400000000000005,183
29,5.220000000000002,1.5,0.8700000000000006,183
30,5.580000000000003,1.5,0.9000000000000006,183
31,5.952000000000003,1.5,0.9300000000000006,183
32,6.336000000000003,1.5,0.9600000000000006,183
33,6.732000000000003,1.5,0.9900000000000007,183
34,7.140000000000003,1.5,1.0200000000000007,183
35,7.560000000000003,1.5,1.0500000000000007,183
36,7.9920000000000035,1.5,1.0800000000000007,183
37,8.436000000000003,1.5,1.1100000000000008,183
38,8.892000000000003,1.5,1.1400000000000008,183
39,9.360000000000003,1.5,1.1700000000000008,183
40,9.840000000000003,1.5,1.2000000000000008,183
41,10.332000000000004,1.5,1.2300000000000009,183
42,10.836000000000004,1.5,1.260000000000001,183
43,11.352000000000004,1.5,1.290000000000001,183
44,11.880000000000004,1.5,1.320000000000001,183
45,12.420000000000005,1.5,1.350000000000001,183
46,12.972000000000005,1.5,1.380000000000001,183
47,13.536000000000005,1.5,1.410000000000001,183
48,14.112000000000005,1.5,1.440000000000001,183
49,14.700000000000006,1.5,1.470000000000001,183
50,15.300000000000008,1.5,1.500000000000001,183
