step,allocation,hazard,hazard_threshold,fallback_triggered
0,A,0.15000000000000002,0.55,False
1,A,0.15000000000000002,0.55,False
2,A,0.15000000000000002,0.55,False
3,A,0.15000000000000002,0.55,False
4,A,0.15000000000000002,0.55,False
5,A,0.15000000000000002,0.55,False
6,A,0.15000000000000002,0.55,False
7,A,0.15000000000000002,0.55,False
8,A,0.15000000000000002,0.55,False
9,A,0.15000000000000002,0.55,False
10,A,0.15000000000000002,0.55,False
11,A,0.15000000000000002,0.55,False
12,A,0.15000000000000002,0.55,False
13,A,0.15000000000000002,0.55,False
14,A,0.15000000000000002,0.55,False
15,A,0.15000000000000002,0.55,False
16,A,0.15000000000000002,0.55,False
17,A,0.15000000000000002,0.55,False
18,A,0.15000000000000002,0.55,False
19,A,0.15000000000000002,0.55,False
20,A,0.15000000000000002,0.55,False
21,A,0.15000000000000002,0.55,False
22,A,0.15000000000000002,0.55,False
23,A,0.15000000000000002,0.55,False
24,A,0.15000000000000002,0.55,False
25,A,0.15000000000000002,0.55,False
26,A,0.15000000000000002,0.55,False
27,A,0.15000000000000002,0.55,False
28,A,0.15000000000000002,0.55,False
29,A,0.15000000000000002,0.55,False
30,A,0.15000000000000002,0.55,False
31,A,0.15000000000000002,0.55,False
32,A,0.15000000000000002,0.55,False
33,A,0.15000000000000002,0.55,False
34,A,0.15000000000000002,0.55,False
35,A,0.15000000000000002,0.55,False
36,A,0.15000000000000002,0.55,False
37,A,0.15000000000000002,0.55,False
38,A,0.15000000000000002,0.55,False
39,A,0.15000000000000002,0.55,False
40,A,0.15000000000000002,0.55,False
41,A,0.15000000000000002,0.55,False
42,A,0.15000000000000002,0.55,False
43,A,0.15000000000000002,0.55,False
44,A,0.15000000000000002,0.55,False
45,A,0.15000000000000002,0.55,False
46,A,0.15000000000000002,0.55,False
47,A,0.15000000000000002,0.55,False
48,A,0.15000000000000002,0.55,False
49,A,0.15000000000000002,0.55,False
50,A,0.15000000000000002,0.55,False
51,A,0.15000000000000002,0.55,False
52,A,0.15000000000000002,0.55,False
53,A,0.15000000000000002,0.55,False
54,A,0.15000000000000002,0.55,False
55,A,0.15000000000000002,0.55,False
56,A,0.15000000000000002,0.55,False
57,A,0.15000000000000002,0.55,False
58,A,0.15000000000000002,0.55,False
59,A,0.15000000000000002,0.55,False
