step,allocation,switched,explanation,explain_type,generated_at
0,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.775615
1,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.775668
2,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.775709
3,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.775745
4,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.775778
5,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.775813
6,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.775846
7,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.775880
8,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.775914
9,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.775947
10,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.775979
11,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776012
12,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776044
13,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776073
14,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776106
15,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776134
16,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776162
17,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776190
18,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776219
19,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776247
20,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776275
21,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776303
22,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776331
23,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776359
24,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776387
25,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776415
26,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776443
27,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776471
28,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776499
29,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776526
30,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776554
31,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776581
32,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776609
33,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776637
34,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776666
35,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776694
36,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776722
37,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776750
38,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776778
39,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776806
40,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776833
41,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776861
42,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776889
43,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776917
44,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776944
45,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.776972
46,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.777000
47,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.777028
48,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.777055
49,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.777083
50,A,False,Allocation maintained under acceptable hazard,STABLE_OPERATION,2026-01-11T15:20:43.777111
